"","Standardised","IPS Adjusted"
"1",48.1727889794289,16.3339645915199
"2",7.23650443214531,8.12960694376725
"3",4.54702643963257,5.14653328643811
"4",3.5739954638172,4.47383998931009
"5",2.85614436093398,3.55150335225329
"6",1.62115935564441,3.06512737405307
"7",1.31667392498572,2.6239375049293
"8",1.27961718035723,2.21118553054731
"9",1.11924089303472,1.85598552133186
"10",0.895723859474596,1.57844829483936
"11",0.761845061982385,1.43131838337878
"12",0.691701579822907,1.11532173634831
"13",0.615487431221983,1.02020988009121
"14",0.557684091644909,0.951161392931549
"15",0.492900347484735,0.907034446575299
"16",0.431371950075191,0.80834685616039
"17",0.416016825722107,0.751551266111124
"18",0.388469560649204,0.700368016082568
"19",0.384594425688347,0.63535262316897
"20",0.347239819719824,0.620879106491939
"21",0.315635063687707,0.61266836693798
"22",0.302077614911865,0.589550768784525
"23",0.278520569096432,0.530849181727465
"24",0.267837000215251,0.500881998208047
"25",0.250328472926611,0.483669572239179
"26",0.233706123682065,0.436450736213112
"27",0.217941934696496,0.419359133793421
"28",0.210284035716522,0.395476388067315
"29",0.198723505545052,0.364953736210767
"30",0.189213121419087,0.350829451197437
"31",0.177748170489253,0.33384281438401
"32",0.165674619928464,0.306871045697842
"33",0.159351195885014,0.292339179918075
"34",0.152811515378056,0.284166001782572
"35",0.149324391696916,0.273042514986721
"36",0.146639932886033,0.270904382751894
"37",0.135874596821776,0.255586832888637
"38",0.133710764769262,0.249167999211839
"39",0.132966584251696,0.245449563369732
"40",0.124240317447257,0.237279465989439
"41",0.123350475708919,0.22795864421691
"42",0.117289661700987,0.216276827662508
"43",0.11655004869464,0.21254739444906
"44",0.113281564302345,0.199581913257796
"45",0.109891128968423,0.196187550195262
"46",0.10631923293758,0.192833157668834
"47",0.100696291535987,0.189415823524552
"48",0.0996680975186471,0.183027789428325
"49",0.0976035684794503,0.17726506375146
"50",0.0947033696564031,0.175433057944743
"51",0.0912660410427343,0.169738283285816
"52",0.089486779232214,0.166277852234519
"53",0.086217986481329,0.164309946813733
"54",0.0848058513849725,0.159539859737456
"55",0.0825433715116223,0.153799256869871
"56",0.0809872158852154,0.150930443079653
"57",0.0805864936098408,0.145119871726399
"58",0.078089659752372,0.144089564127359
"59",0.0772900726974703,0.140115368955465
"60",0.0763679812206664,0.135886286780034
"61",0.0746727717010584,0.135044813073397
"62",0.0721824125622722,0.133332000434136
"63",0.0709777009875348,0.13054826449799
"64",0.0690694032067208,0.126460600926804
"65",0.0681782362899123,0.122808789984064
"66",0.0669556857088866,0.122327433593516
"67",0.0658975214368918,0.118040159040612
"68",0.065129179766831,0.115536918273485
"69",0.064767157783718,0.111769310589308
"70",0.0638770376941576,0.110478141319186
"71",0.062363390713349,0.108466211142233
"72",0.0606899700520878,0.107890650065856
"73",0.0600651228936767,0.107217407410714
"74",0.0596866564466233,0.106308307488698
"75",0.0574757016634537,0.103919008210969
"76",0.0574179573561658,0.102957047941541
"77",0.0570375302067055,0.100878367422779
"78",0.0560805844375959,0.10080904555378
"79",0.0545685886861317,0.098063067823469
"80",0.0538986742853665,0.0970960073765016
"81",0.0531015161458798,0.0952685166371822
"82",0.0527310142806214,0.0939978794584744
"83",0.051611928167965,0.0929132362501003
"84",0.0512004910416674,0.0915102839758398
"85",0.0505272240363616,0.0897543376579311
"86",0.0503589155760401,0.0890686761177781
"87",0.0492546363408181,0.088878664529967
"88",0.04822084996386,0.0876367008305863
"89",0.0479854672343453,0.0871656914500782
"90",0.047839360800004,0.0863745957648601
"91",0.0470973934714353,0.0847795784285809
"92",0.0462774295821543,0.0839732071861747
"93",0.0456153958371876,0.0836372177697818
"94",0.0445402392418587,0.0823817309815233
"95",0.0441339578150743,0.0811807789193131
"96",0.043849452077106,0.0805788497016178
"97",0.0435453779728487,0.0784084061999816
"98",0.0429467324072058,0.0782432723208823
"99",0.0423514417657682,0.0776610769628882
"100",0.0422364817528738,0.0762680929300408
"101",0.0419675419427744,0.0761584074905871
"102",0.0412598705430471,0.0751485390694641
"103",0.0409829371453924,0.0750055638780699
"104",0.0407040171303316,0.073928988813782
"105",0.0403079175066779,0.0731641464605831
"106",0.039990253420096,0.0729345395675762
"107",0.0398398472061786,0.0725417237579356
"108",0.0390698398402669,0.0718574686299682
"109",0.0389722418803957,0.0711803981784289
"110",0.038640188379578,0.0708590319329751
"111",0.0383114226205205,0.0698299427346992
"112",0.038133654690463,0.0689696078804542
"113",0.0378849480508443,0.0686142188129699
"114",0.0375553225511863,0.0682771400328713
"115",0.0372271072988259,0.067639778199171
"116",0.0368449494536253,0.0672893822317531
"117",0.0364669653967403,0.0668957170254433
"118",0.0362194436548292,0.0661648749312385
"119",0.0358448545020223,0.065630609464901
"120",0.0357650509922779,0.0648044172281457
"121",0.0356100872833925,0.0643308968582571
"122",0.0354252202816505,0.0641196119047565
"123",0.0349389108426524,0.0632225057259153
"124",0.0347568668060595,0.0631861903642736
"125",0.0345194706370937,0.0628421414034235
"126",0.0343582713662449,0.0625211233604928
"127",0.0342377458392851,0.0617156419537838
"128",0.0337667817638549,0.0614869811733185
"129",0.033570106705756,0.0608515189627999
"130",0.0333949092594649,0.0599952889730033
"131",0.033051983648884,0.0598583132195333
"132",0.0329231458536798,0.0593614740975096
"133",0.0326858545439964,0.0592520281101745
"134",0.0325654343831064,0.0586497500772437
"135",0.0323669278705375,0.0578831064264998
"136",0.0321254475510328,0.0577497476323204
"137",0.0320340280436566,0.0574760953446525
"138",0.03181994886341,0.0569774921152632
"139",0.0317141236102706,0.056846453912975
