"adat_SINs" "RedCap_SINs"
"101" "STEP2174-F-V1-L-HT1" "STEP2174-V1-F-L-HT1"
"102" "STEP1738-F-V1-HT1" "STEP1738-V1-F-HT1"
"103" "STEP2476-F-V1-R-HT1" "STEP2476-V1-F-R-HT1"
"104" "STEP1521-F-V1-HT1" "STEP1521-V1-F-HT1"
"106" "STEP1987-F-V1-HT1" "STEP1987-V1-F-HT1"
"107" "STEP2192-F-V1-R-HT1" "STEP2192-V1-F-R-HT1"
"108" "STEP2544-F-V1-R-HT1" "STEP2544-V1-F-R-HT1"
"109" "STEP1470-F-V1-HT1" "STEP1470-V1-F-HT1"
"110" "STEP2374-F-V1-HT1" "STEP2374-V1-F-HT1"
"112" "STEP2401-F-V1-HT1" "STEP2401-V1-F-HT1"
"114" "STEP1024-F-V1-HT1" "STEP1024-V1-F-HT1"
"115" "STEP1047-F-V1-HT1" "STEP1047-V1-F-HT1"
"116" "STEP1360-F-V1-HT1" "STEP1360-V1-F-HT1"
"117" "STEP2467-F-V1-L-HT1" "STEP2467-V1-F-L-HT1"
"118" "STEP2100-F-V9-R-HT1" "STEP2100-V9-F-R-HT1"
"119" "STEP1151-F-V1-HT1" "STEP1151-V1-F-HT1"
"120" "STEP1146-F-V1-HT1" "STEP1146-V1-F-HT1"
"122" "STEP2253-F-V1-R-HT1" "STEP2253-V1-F-R-HT1"
"123" "STEP1825-F-V1-HT1" "STEP1825-V1-F-HT1"
"124" "STEP2391-F-V1-HT1" "STEP2391-V1-F-HT1"
"125" "STEP1291-F-V1-HT1" "STEP1291-V1-F-HT1"
"126" "STEP1727-F-V1-HT1" "STEP1727-V1-F-HT1"
"127" "STEP2422-F-V1-HT1" "STEP2422-V1-F-HT1"
"129" "STEP1435-F-V1-HT1" "STEP1435-V1-F-HT1"
"130" "STEP1156-F-V1-HT1" "STEP1156-V1-F-HT1"
"131" "STEP1124-F-V1-HT1" "STEP1124-V1-F-HT1"
"133" "STEP1953-F-V1-HT1" "STEP1953-V1-F-HT1"
"134" "STEP1965-F-V1-HT1" "STEP1965-V1-F-HT1"
"135" "STEP1196-F-V1-HT1" "STEP1196-V1-F-HT1"
"136" "STEP1668-F-V1-HT1" "STEP1668-V1-F-HT1"
"137" "STEP2251-F-V1-R-HT1" "STEP2251-V1-F-R-HT1"
"139" "STEP2518-F-V1-L-HT1" "STEP2518-V1-F-L-HT1"
"140" "STEP1639-F-V1-HT1" "STEP1639-V1-F-HT1"
"141" "STEP2036-F-V1-L-HT1" "STEP2036-V1-F-L-HT1"
"142" "STEP1063-F-V1-HT1" "STEP1063-V1-F-HT1"
"143" "STEP1419-F-V1-HT1" "STEP1419-V1-F-HT1"
