"Spin","PC1","spin.col"
"Unspun",42.0738432542111,"blue"
"Unspun",-37.1765415623764,"blue"
"Unspun",75.0942551310336,"blue"
"Unspun",131.255932138034,"blue"
"Unspun",103.464862628057,"blue"
"Unspun",14.6535588555674,"blue"
"Unspun",8.93233095284404,"blue"
"Unspun",117.894727766269,"blue"
"Unspun",119.372115486502,"blue"
"Unspun",-31.8647998410978,"green"
"Unspun",142.601591946688,"blue"
"Unspun",23.0731627665644,"blue"
"Unspun",-43.0080455248293,"blue"
"Unspun",0.475349794966309,"blue"
"Unspun",-9.82164653285035,"blue"
"Unspun",46.0238122282777,"blue"
"Unspun",99.6893926115081,"blue"
"Unspun",66.7367707497098,"blue"
"Spun",-10.4329754557857,"blue"
"Spun",-41.9231617000505,"blue"
"Spun",13.7049380651835,"blue"
"Spun",37.801210786806,"blue"
"Spun",86.0960883992733,"blue"
"Spun",5.28350401544599,"blue"
"Spun",-26.7336362496866,"blue"
"Spun",-12.9084423177509,"blue"
"Spun",37.4748538357653,"blue"
"Spun",-30.5413371205,"green"
"Spun",-3.83944989438176,"blue"
"Spun",-23.0805025616066,"blue"
"Spun",-53.29727337151,"blue"
"Spun",-22.6523638075707,"blue"
"Spun",-29.5621356623007,"blue"
"Spun",-26.5664061014126,"blue"
"Spun",20.3142734410203,"blue"
"Spun",21.1661098106439,"blue"
