"non-IPS adjusted","IPS adjusted","Intracellular Protein Score"
-52.156394732131,18.8834988169156,23990.6316227481
-46.945604386084,-4.62974441156275,23979.2484420491
-58.8926943654775,31.0413847590826,24567.5824549668
-23.7178627758645,60.7130351568346,25136.3612078344
-9.72620306804404,-8.23466288743869,25066.1612241569
-53.513758589635,-3.67114258290837,24426.3163046859
-38.0749150678915,-10.1366857739303,24265.3741966685
23.6081486902358,-0.383802609637874,25535.4397434942
-19.9793427154567,-2.08137192882809,24966.6622789161
-29.0238291942394,-24.6605035866908,24856.319540485
-42.0391655259859,-0.716449435103836,24459.1809116626
-49.2846092219038,-16.9252166757855,23824.9941656583
44.6655658238925,-27.7128777457642,25592.3120723784
-7.74338295565241,-27.6247568217862,24577.4559452488
-51.2427012248284,-2.10000389497155,24328.8999437037
-45.6203622971492,13.7747629934695,24259.2380416145
-24.53471247441,-60.4449098444609,24455.6461769324
4.15199121236644,-7.68268769970621,25208.9106632125
-39.7067416386701,4.86995007213627,24469.3817350722
17.723830388402,27.6660757901665,25688.1277805894
17.6552012107003,-5.58451020901533,25385.5214527741
222.692193933295,-20.2347654755742,30756.9882282071
-29.9585703333163,11.2411859544893,25185.1736437247
-60.2339530893786,-9.88219121389068,23890.5633567454
109.873734998499,-89.7339251667118,26300.7358376828
-27.2074585849735,19.2719535594376,24721.3444072751
-6.95245856300357,51.4789639852841,25592.2556236766
-44.0584266333391,40.2096048929255,24330.9075155504
-22.7837047238439,-5.69361024891624,24699.7366633765
16.6996515714237,19.7499630809267,25592.0564473538
2.51427385784978,-1.15859029380997,25263.9029977076
-76.9131739476677,0.556989298896921,24019.9089985137
4.90294865683452,12.3536326516734,25330.7749864119
-30.1199532291139,0.81307414877468,25028.4411506352
-22.9915274293775,-6.18221177279815,24873.9748709762
-13.1008208033421,9.89503908013258,25009.2908094417
-25.0558658307719,7.36817745718443,24544.2619963543
2.00622307411366,19.9083684914264,25786.1626149788
-34.1342479684815,-0.16436037430473,24627.4929487394
45.0265933499528,20.337556752177,26417.2023369078
-16.4311840704036,22.1140074399,25718.7008561802
-25.3996215857645,-9.21348861765941,24969.6945905431
-32.6013171680113,28.987941860252,24994.3708833088
52.248548688502,1.40083971460007,25779.265013855
37.3435558372941,-5.63364979136621,25686.9943646003
25.0753416214079,26.5792868465932,25941.6899498101
-10.7453151289357,38.9955602170951,25286.0364607971
7.38104434017687,28.8740238396312,25575.9260628976
-30.1434673989464,28.8286129799536,24467.8174923773
71.4304773572702,36.3290672206547,27079.422733807
-34.6018970936396,12.2991701778951,24796.9942111959
161.356880395826,-4.86852424415244,28437.1794315913
38.6494246147606,34.5953319613086,26048.4226602642
-23.4633330069325,10.8597925260483,25211.9388851935
20.5256597710156,-18.8045253533539,25913.9787714996
-37.8810486867478,35.2883616160393,24536.1725382936
43.7919046361175,45.6865483403436,26854.2071246003
83.5000437276207,74.0471696463169,28496.9128912563
90.6090951416619,27.961727030489,27084.656002943
-87.5465296341537,-5.48025008974907,23233.6376421078
-74.7304965093335,-42.9192232081118,23689.014606118
-44.8777729983766,-10.0150413133307,24341.6442053342
-15.7216173063172,9.44042937224529,24757.3425663669
-176.605647615861,-39.034455652473,22116.8446136814
-54.2421547139542,-38.496926755339,23571.8787550307
27.5484726562674,52.6507606222194,26362.6417043633
-35.0664704947372,-26.2551698540995,24230.3757947303
-219.608347492921,35.3141046953826,21820.5076314741
14.741796243534,-18.6691736804358,25375.0427244371
-30.2537053739445,-7.35022625257635,24784.9413161994
37.5726919878589,66.0890798925135,25993.275068393
35.2706736185348,23.3845048307436,25832.8429463407
37.9498019881377,-9.02997332744271,26329.1102905236
-33.8545832851112,9.00669802240067,24437.7574676985
-54.3147485466569,-41.6506652685422,24275.6189960899
283.35110794201,-101.268695318453,29471.7126575484
9.4608321963321,31.7904196105656,25774.3256576885
-6.97613396482922,14.5563836001944,25168.1538530078
5.68912212767084,-15.5195092948513,25227.9214523579
-22.5408013778424,-23.0975912501953,25307.5299886795
-31.9616913040375,-51.9481253236884,25003.5034155068
20.9137401521223,15.2696575382267,26364.417338633
-76.5306416187314,-37.0383045361209,24456.3001577721
-12.2063134336514,-23.1803717572509,24855.2450750984
19.8655355206673,-33.1059731247891,25627.1524867223
16.1897803436637,-23.9850571603289,25272.529153703
-36.6418761393634,-55.2043176830496,24144.0240371611
-29.6714022657046,-17.3869803747906,25299.0366879271
-6.5946654246217,-15.8867812953323,25437.8697394534
22.6659941313864,5.72323390628243,26067.8819844919
44.2722309526105,11.3001502430246,26872.1828814579
-33.1825304960119,4.13942040012586,24689.5675112706
-68.722196043786,-41.3585632516468,24428.2500787145
-17.0413352359958,-62.0192261201726,24829.5383505773
28.6640023386885,18.1217069961805,26949.9013962671
-23.9058706961207,-12.1455497446393,25211.1795314324
-48.4682935711815,-35.861662915199,25049.7376448542
48.0702539178646,80.5013807062882,27257.977859011
-31.6218057296322,-6.52095749302034,24217.3212148194
34.9453300959166,41.4062324643374,26688.4894925857
-32.0693059479728,0.480228310035495,24411.0014844434
112.912906317587,-18.6098825508056,27745.6948838188
-46.8113346141102,-8.43173655256738,24249.7229968693
29.7403931305265,-8.78561573173156,25633.1210434978
-19.0746271228242,-12.8675316045933,24601.8309458665
35.3155807637107,55.3696388432052,26437.4795444617
-34.7349604739673,-44.265294262693,24612.3286025908
-6.45359149962078,37.4658658862539,24877.4180275286
26.3715756033762,48.9625120414917,26160.1585094398
16.3084197190494,-46.854488716101,25600.673306703
-40.5522279980273,-29.1412909774695,24515.6615038316
-19.7242170991076,20.0471932589525,24603.9039537256
-25.243508130213,-0.539358235423442,24587.9588321879
2.90930011740253,27.592610836464,25755.7571523885
13.8908943867646,12.3640755694164,25361.8363431527
-49.6616125942486,-24.0460775797328,24430.905371904
-35.9435464781013,23.6565778073401,25017.7418030382
20.4535351184323,10.5342831673032,25935.0596440285
-41.9058469718509,25.531454007706,24217.7264161498
-45.4004971117987,-20.0294364294185,24276.0061260538
-26.0460052483128,-19.8878516370423,24353.7562068199
20.1408133089396,-5.17259587805398,26019.3958640048
-29.405664003287,-3.95552035817572,24635.2841948005
-45.1611050031973,5.74143709901999,24273.4054870703
-46.0962663789049,20.9715547089734,24653.593274835
14.0256473147228,51.0041997119582,26160.4011036841
40.9182746639066,27.0948333039273,26708.8956924208
-134.972833536044,17.2771927276799,22485.697923495
33.5578259437697,-18.2590243360475,25731.6172334421
33.7537580704146,-29.781422908045,25877.9443356476
-64.1808002487702,25.8397418035815,24539.930979118
13.8371651988429,28.7750160906099,25886.7554808321
-40.7181128633681,30.9317552031928,24864.8590857956
-5.06653875301165,11.4785435099337,25006.1441230163
-50.6312497417068,7.01063388797312,24054.3723649354
